answerId,answerFile,answeredBy
meta_ans_000,911Mothers_2010W.sph,meta_ted
meta_ans_001,YassminAbdelMagied_2014X.sph,meta_ted
meta_ans_002,ZainabSalbi_2010G.sph,meta_ted
meta_ans_003,ZiauddinYousafzai_2014.sph,meta_ted
meta_ans_004,ZakEbrahim_2014.sph,meta_ted
meta_ans_005,WilliamLi_2010.sph,meta_ted
meta_ans_006,WilliamKamkwamba_2009G.sph,meta_ted
meta_ans_007,WesMoore_2014S.sph,meta_ted
meta_ans_008,WandaDiazMerced_2016.sph,meta_ted
meta_ans_009,WendyChung_2014.sph,meta_ted
meta_ans_010,WilliamMcDonough_2005.sph,meta_ted
meta_ans_011,WoodyNorris_2004.sph,meta_ted
meta_ans_012,AalaElKhani_2016X.sph,meta_ted
meta_ans_013,AaronHuey_2010X.sph,meta_ted
meta_ans_014,AaronKoblin_2011.sph,meta_ted
meta_ans_015,AaronOConnell_2011.sph,meta_ted
meta_ans_016,AbeDavis_2015.sph,meta_ted
meta_ans_017,AbhaDawesar_2013G.sph,meta_ted
meta_ans_018,AbigailMarsh_2016T.sph,meta_ted
meta_ans_019,AbigailWashburn_2012U.sph,meta_ted
meta_ans_020,AbrahamVerghese_2011G.sph,meta_ted
meta_ans_021,AchenyoIdachaba_2015W.sph,meta_ted
meta_ans_022,DonaldHoffman_2015.sph,meta_ted
meta_ans_023,DonaldSadoway_2012.sph,meta_ted
meta_ans_024,DorisKearnsGoodwin_2008.sph,meta_ted
meta_ans_025,DrewBerry_2011X.sph,meta_ted
meta_ans_026,EricTopol_2009P.sph,meta_ted
meta_ans_027,ErikJohansson_2011S.sph,meta_ted
meta_ans_028,ErnestoSirolli_2012X.sph,meta_ted
meta_ans_029,FieldsWickerMiurin_2009S.sph,meta_ted
meta_ans_030,FranzFreudenthal_2016.sph,meta_ted
meta_ans_031,GarthLenz_2011X.sph,meta_ted
meta_ans_032,StuartFirestein_2013.sph,meta_ted
meta_ans_033,StuartRussell_2017.sph,meta_ted
meta_ans_034,SueAustin_2012X.sph,meta_ted
meta_ans_035,SugataMitra_2013.sph,meta_ted
meta_ans_036,SukiKim_2015.sph,meta_ted
meta_ans_037,TabethaBoyajian_2016.sph,meta_ted
meta_ans_038,TalDanino_2015U.sph,meta_ted
meta_ans_039,MichaelTilsonThomas_2012.sph,meta_ted
meta_ans_040,MikeMatas_2011.sph,meta_ted
meta_ans_041,MikeVelings_2015Z.sph,meta_ted
